InfoRes,Knowledge Level,Status
infores:agrkb,curated,released
infores:aact,curated,released
infores:answer-coalesce,curated,deprecated
infores:aragorn,predicted,released
infores:aragorn-ranker,curated,deprecated
infores:arax,predicted,released
infores:atc-codes-umls,curated,released
infores:atgo,curated,released
infores:athena,curated,released
infores:automat-genome-alliance,curated,released
infores:automat-renci-sri-reference-kg,curated,released
infores:automat-chem-norm,curated,deprecated
infores:automat-chembio,curated,deprecated
infores:automat-cord19,text_mined,deprecated
infores:automat-cord19-scibite,text_mined,deprecated
infores:automat-cord19-scigraph,text_mined,deprecated
infores:automat-covid-phenotypes,curated,deprecated
infores:automat-covidkop,curated,deprecated
infores:automat-cam-kp,curated,released
infores:automat-ctd,curated,released
infores:automat-drug-central,curated,released
infores:automat-foodb,curated,released
infores:automat-gtex,curated,released
infores:automat-gtopdb,curated,released
infores:automat-gwas-catalog,curated,released
infores:automat-hetio,curated,deprecated
infores:automat-hetionet,curated,released
infores:automat-hgnc,curated,released
infores:automat-hmdb,curated,released
infores:automat-human-goa,curated,released
infores:automat-icees-kg,correlation,released
infores:automat-intact,curated,released
infores:automat-kegg,curated,deprecated
infores:automat-mychem-info,curated,deprecated
infores:automat-ontology-hierarchy,curated,deprecated
infores:automat-panther,curated,released
infores:automat-pharos,curated,released
infores:automat-robokop-kg,curated,released
infores:automat-text-mining-provider,curated,deprecated
infores:automat-string-db,curated,released
infores:automat-sri-reference-kg,curated,released
infores:automat-ubergraph,curated,released
infores:automat-ubergraph-nonredundant,curated,deprecated
infores:automat-viral-proteome,curated,released
infores:bfo,curated,released
infores:bgee,curated,released
infores:bigclam,correlation,deprecated
infores:bigg-models,curated,released
infores:biggim,correlation,deprecated
infores:bindingdb,curated,released
infores:bio2rdf,curated,released
infores:biocatalogue,Not Available,deprecated
infores:biogrid,curated,released
infores:biolink-api,curated,released
infores:biolink-model-lookup,curated,released
infores:biolink-ontology,curated,released
infores:bioportal,curated,released
infores:biothings-biggim-1,curated,deprecated
infores:biothings-dgidb,curated,released
infores:biothings-diseases,curated,released
infores:biothings-ebi-gene2phenotype,curated,released
infores:biothings-explorer,curated,released
infores:service-provider-trapi,curated,released
infores:biothings-go-bp,curated,released
infores:biothings-go-cc,curated,released
infores:biothings-go-mf,curated,released
infores:biothings-hpo,curated,released
infores:biothings-idisk,curated,released
infores:biothings-mgi-g2p,curated,released
infores:biothings-multiomics-biggim-drugresponse,curated,released
infores:biothings-multiomics-ehr-risk,correlation,modified
infores:providence-st-joseph-ehr,curated,released
infores:biothings-multiomics-wellness,correlation,released
infores:biothings-multiomics-clinicaltrials,curated,released
infores:biothings-pfocr,predicted,modified
infores:pfocr,predicted,released
infores:biothings-semmeddb,text_mined,released
infores:biothings-semmeddb-anatomy,text_mined,deprecated
infores:biothings-semmeddb-biological-process,text_mined,deprecated
infores:biothings-semmeddb-chemical,text_mined,deprecated
infores:biothings-semmeddb-disease,text_mined,deprecated
infores:biothings-semmeddb-gene,text_mined,deprecated
infores:biothings-semmeddb-phenotype,text_mined,deprecated
infores:biothings-tcga-mut-freq,correlation,deprecated
infores:biothings-uberon-ontology,curated,released
infores:biothings-rhea,curated,released
infores:rhea,curated,released
infores:biothings-bioplanet-pathway-disease,curated,released
infores:biothings-bioplanet-pathway-gene,curated,released
infores:bioplanet,curated,released
infores:biothings-bindingdb,curated,released
infores:bspo,curated,released
infores:wbbt,curated,released
infores:wbphenotype,curated,released
infores:cam-kp,curated,deprecated
infores:campfhir,curated,deprecated
infores:chebi,curated,released
infores:chem2bio2rdf,curated,released
infores:chembank,curated,released
infores:chembio,curated,deprecated
infores:chembl,curated,released
infores:chemotext,curated,deprecated
infores:civic,curated,released
infores:cl,curated,released
infores:clingen,curated,released
infores:clinical-profiles,curated,deprecated
infores:clinicaltrials,curated,released
infores:clinvar,curated,released
infores:cmap,curated,released
infores:columbia-cdw-ehr-data,curated,released
infores:cohd,correlation,released
infores:cohd-covid,correlation,released
infores:cohd-covid19-api,curated,deprecated
infores:connections-hypothesis,prediction,released
infores:cord19,curated,deprecated
infores:cord19-scibite,curated,deprecated
infores:cosmic,curated,released
infores:covid-phenotypes,curated,deprecated
infores:cpdb,curated,released
infores:cpt-codes-umls,curated,deprecated
infores:ctd,curated,released
infores:ctrp,correlation,released
infores:date,curated,released
infores:dbsnp,curated,released
infores:dda,curated,released
infores:delta-qt-db,curated,deprecated
infores:depmap,correlation,released
infores:dgidb,curated,released
infores:dili-network-study-data,correlated,released
infores:faers,observation,released
infores:fbbt,curated,released
infores:disease-ontology,curated,released
infores:diseases,curated,released
infores:disgenet,curated,released
infores:distild,curated,deprecated
infores:doaf,curated,released
infores:docm,curated,released
infores:drug-repurposing-hub,curated,released
infores:drugbank,curated,released
infores:drugcentral,curated,released
infores:drugmechdb,curated,released
infores:ebi,curated,released
infores:ebi-gene2phenotype,curated,modified
infores:ebi-proteins,curated,released
infores:ebi-quick-go,curated,released
infores:eco,curated,released
infores:ecto,curated,released
infores:eram,curated,released
infores:efo,curated,released
infores:ehdaa2,curated,released
infores:ensembl-gene,curated,released
infores:entrez,curated,released
infores:erc-analysis,correlation,deprecated
infores:explanatory-agent,predicted,deprecated
infores:fhir-pit,curated,deprecated
infores:fma-obo,curated,released
infores:fma-umls,curated,released
infores:fooddb,curated,released
infores:foodon,curated,released
infores:gdc,curated,released
infores:gdsc,curated,released
infores:genage,curated,released
infores:gencc,curated,released
infores:gendr,curated,released
infores:genebass,curated,released
infores:genepio,curated,released
infores:geneprof,curated,released
infores:genetics-data-provider,curated,released
infores:ghr,curated,released
infores:gnbr,curated,released
infores:go,curated,released
infores:go-cam,curated,released
infores:go-plus,curated,released
infores:human-goa,Not Available,released
infores:goa,curated,released
infores:gote,curated,deprecated
infores:gtrx,curated,released
infores:gtex,curated,released
infores:gtopdb,curated,released
infores:gwas-catalog,correlation,released
infores:hcp-codes-umls,curated,released
infores:hcpcs-cpt-umls,curated,released
infores:hetionet,curated,released
infores:hgnc,curated,released
infores:hl7-umls,curated,released
infores:hmdb,curated,released
infores:homologene,curated,released
infores:hopkins-synthetic-patient-data,curated,released
infores:hpa,curated,released
infores:hpo,curated,released
infores:hpo-annotations,curated,released
infores:icd10-umls,curated,released
infores:icd10ae-umls,curated,released
infores:icd10cm-umls,curated,released
infores:icd10pcs-umls,curated,released
infores:icd9cm-umls,curated,released
infores:icees-kg,correlation,released
infores:idisk,curated,released
infores:improving-agent,predicted,released
infores:indigo-reasoner,curated,deprecated
infores:ino,curated,released
infores:intact,curated,released
infores:interactome-ccsb,curated,released
infores:interpro,curated,released
infores:inxight-drugs,curated,released
infores:iproclass,curated,released
infores:irefindex,curated,released
infores:isb-incov,curated,released
infores:isb-wellness,curated,released
infores:kegg,curated,released
infores:kgea,curated,released
infores:kinomescan,raw_data,released
infores:knowledge-collaboratory,curated,released
infores:life-science-resource-registry,curated,released
infores:lincs,curated,released
infores:linkedspl,curated,deprecated
infores:litvar,curated,released
infores:loinc,curated,released
infores:loinc-umls,curated,released
infores:mp,curated,released
infores:maxo,curated,released
infores:meddra-umls,curated,released
infores:medgen,curated,released
infores:medlineplus,curated,released
